approximately	xấp xỉ;
make up a story	bày chuyện
make up medicines	bào chế
make yourself at home	anh cứ tự nhiên như ở nhà anh
malabar almond tree	bàng
malabar almond-shaped cake	bánh bàng
malay	Mã Lai
malaysia	Mã Lai Á
man of learning; learned	bác học
man of worth	anh hào
management	ban giám đốc
manchuria	Mãn Châu
mandarin chinese (language)	Quan thoại
maneuvering flight	bay thao dượt
manifest	biểu
manifest; revelation	biểu hiện
manila	Ma Ní
manor	biệt thự
many	bao
many diseases	bá bệnh
many schemes	bách kế
many trades	bách nghệ
many; (2) father’s older sibling; (3) to sow	bá
mao tse tung	Mao Trạch Đông
mare (lunar sea); (2) placard	biển
marijuana	anh túc
mars	Hỏa Tinh
martial; war	binh đao
marxist-leninist	Mác Lê Nin
master	bá chủ
matchmaker	bà mối
maternal grandmother	bà ngoại
maybe	biết đâu
meal	buổi cơm
meaningless	ba lăng nhăng
means	biện pháp
measles	ban đỏ
measure	biện pháp
measures	biện pháp cần thiết
medal of honor	Danh Dự Bội Tinh
medical doctor	bác sĩ
meditation hall (cao dai)	Trí Huệ Cung
medium	bà đồng
meeting	buổi họp mặt
meiji (emperor of japan)	Minh Trị
meiji restoration	Minh Trị Phục Hưng
melancholy	bi sầu
memorial	bài vị
mencius	Mạnh Tử
merchant	buôn thúng bán mẹt
messed up	ba rọi
metabolism	biến dưỡng
metamorphosis	biến hình
metaphase	biến kỳ
meter	biểu
method	biện pháp
mexico	Mễ Tây Cơ
mid-autumn festival pie	bánh trung thu
midday	ban trưa
midday-at noon	buổi trưa
middle east	Trung Đông
middle east region	Miền Trung đông
middleman; to act as a middleman or go-between	buôn nước bọt
midnight	bán dạ
midwife	bà đỡ
mikado	Thiên Hoàng
military	binh đao
military affairs	vấn đề quân sự
military career	Sự nghiệp quân sự
military doctrine	binh thuyết
military expenditures	binh phí
military man	binh gia
military manual	binh thư
military might	binh lực
military organization	binh chế
military power	binh quyền
military revolt	binh biến
military rights	binh quyền
military service	binh dịch
military supplies	binh nhu
military uniform	binh phục
military; (2) see bênh	binh
milk bread	bánh sữa
milk cake	bánh sữa
minister of education	Bộ Trưởng Giáo Dục
minister of foreign affairs	Bộ Trưởng Ngoại Vụ
ministry of agriculture	Bộ Nông Nghiệp
ministry of defense	Bộ Trưởng Quốc Phòng
ministry of domestic affairs	Bộ Nội Vụ
ministry of education and youth	Bộ Văn Hóa Giáo Dục và Thanh Niên
ministry of finance	Bộ Tài Chính
ministry of information	Bộ Thông Tin
ministry of justice justice department	Bộ Tư Pháp
ministry of national education	Bộ Quốc gia Giáo dục
ministry of public health	Bộ Y Tế
ministry of social welfare	Bộ Xã Hội
minutes	biên bản
misappropriate	biển thủ
misappropriate public funds	biển thủ công quỹ
miscellaneous	bác tạp
misfortune	ba đào
mitigate	an ủi
mixed up	bác tạp
mizzen (sail)	buồm câu
mizzen-sail	buồm lái
moderate islam	Hồi Giáo ôn hòa
modern-day vn	Việt Nam cận đại
modify	biến cải
modulation meter	biến điện kế
molasses-sweetened glutinous rice cake	bánh mật
monarch	anh quân
mongol	Thát Đát
mongolia	Mông Cổ
moon cake	bánh trung thu
morning	buổi sáng
morphine	a phiến trắng
moscow	Mạc Tư Khoa
mother	bà bô
mother in law	bà nhạc
mother-in-law	bà gia
mournful	bi thảm
mournful remembrance	ai hoài
moving	bi cảm
mr. bau	anh Báu
much	bao nả
muslim brotherhood	Huynh đệ Hồi giáo
mutation	biến chủng
mutiny	binh biến
mỹ kim	MK
narcotics	buôn lậu ma tuy
nation	bang gia
nation; (2) to help	bang
national bank (of vn)	Ngân Hàng Nhà Nước
national institute of health	Viện Sức Khỏe Quốc Gia
national mall (in washington dc)	Quảng trường Quốc gia
national rifle association	Hiệp Hội Súng Quốc Gia
national security	an ninh quốc gia
native american	Mỹ đỏ
nato	Khối Phòng Vệ Bắc Đại Tây Dương
natural sciences	bác vật học
nauseous	buồn mửa
nauseous; nausea	buồn nôn
naval security	an ninh hải quân
near	bàng (1) terminalia, a shade tree; (2)
near east	Cận Động
necessary means	biện pháp cần thiết
negative	bi quan
neighbor	bàng tiếp
neighboring	bàng tiếp
neptune	Hải vương tinh
new delphi	Tân Đề Li
new president	Tân tổng thống
new testament	Tân Ước
new year’s rice cake	bánh chưng
new york	Nữu Ước
new zealand	Tân Tây Lan
newspaper article	bài báo
newspaper articles]; (5) mandarin symbol of office; (6) to arrange	bài
next	bàng tiếp
nghị định chính phủ	NĐ-CP
nhân hàng nhà nước (national bank of vn)	NN
nickname	biệt hiệu
nine sphere palace (cao dai)	Cửu Trùng Đài
no one asked us	Không ai hỏi chúng tôi hết
no one came at all	Không ai đến dốt cả
noah	Nhữ Y
noise of gongs	beng beng
nom (old vietnamese writing system based on chinese characters)	Nôm
non-violent	biểu tình bất bạo động
noon	buổi trưa
noontime	ban trưa
north atlantic treaty organization	Khối Phòng Vệ Bắc Đại Tây Dương
north atlantic treaty organization (nato)	Tổ Chức Hiệp Ước Bắc Đại Tây Dương
norway	Na Uy
nose dive	bay bổ nhào
nose wheel	bánh trước phi cơ
not to mind	bao nài
not worried	an thân
not worried; assurance	an tâm
nothing at all like that!	Có mốc xì gì đâu!
now ~ now ~	ba hồi ~ ba hồi
nra	Hiệp Hội Súng Quốc Gia
nuclear bomb	bom nguyên tử
nuclear non-proliferation treaty	Hiệp định không phổ biến vũ khí hạch nhân
nuclear scientist	bác học nguyên tử
nullify	bác bỏ
obituary	ai tín
oblige; to tie up	buộc
observer	bàng quan
occident	Tây phương
occidental	Tây
occupational safety	an toàn lao động
occupations	bách nghệ
occurrence	biến cố quan trọng
ocean	biển cả
oceanus	biển cả
office	bàn giấy
office furniture	bàn ghế văn phòng
officialdom	an liêu
ogress	bà chằng
oh	Cha, mắc quá
old lady	bà già
old name for vietnam	Lạc Vịet
old testament	Cựu Ước
old woman	bà lão
older brother	bào huynh
oldest brother	anh cả
one earns a lot of extra money in that position	Làm chỗ ấy bở lắm
one’s father	bà cô
one’s predicament	biết thân
one’s status	biết thân
onlooker	bàng quan
open cubicles	buồng thoáng
open one’s mouth to speak	buông miệng
operating table	bàn mổ
ophiuchus	Thiên xà
opium	a phiến
opium set	bàn đèn
orchestra	ban nhạc
order	ban hành sắc luật
order; (4) second degree near relatives of different surnames; (5) memorial to the king	biểu
organization chart	biểu đồ tổ chức
organization for security and cooperation in europe (osce)	Tổ Chức An Ninh và Hợp Tác Âu Châu
origin	ban sơ
orphan	ai từ
ounce	ao xơ
outing (to have fun)	buổi đi chơi
outset	ban sơ
outside pin	bay soắn đảo ngược
outstanding man	anh kiệt
outstanding talent	anh tài
ovary	bào tử
overcoat	bành tô
overseas vietnamese	Việt kiều
pack	bao
pack of cigarettes	bao thuốc lá
package of cigarettes	bao thuốc
packaging	bao gói
pagoda	am tự
painful	bi khổ
pakistan	Hồi Quốc
palace	biệt điện
palace of wisdom (cao dai)	Thiên Hỉ Động
pali	Phạn ngữ
pali canons	Phạn điển
pancake	bánh kẹp
panther; scraggy; to pinch	beo
paper bag	bao giấy
paper target	bia giấy
papery thin water	bánh sữa
parallel constructions	biền ngẫu
parallel sentences	biền ngẫu
paramilitary	bán quân sự
paraphrase	biến cú
parent-teacher association	Hội phụ huynh học sinh
parents	ba xuân
parent’s cousin	bác họ
parent’s older brother	bác ruột
part	biệt ly
partially free	bán tự do
party	biệt toán
pass (laws	ban hành
pastry	bánh ngọt
pastry; (2) wheel	bánh
patella	bánh chè
paternal grandmother	bà nội
paternal grandmotherbà phước	sister (religious title): bà nội
pathetic	bi tráng
patrol	ba tui
paul (paulo)	Phao Lồi
peace	an hảo
peace and comfort or contentment	an lạc
peaceful	an tịnh
peaceful demonstration	biểu tình bất bạo động
peaceful life; tranquil	an hảo
pearl harbor	Trân Châu Cảng
pedal	bàn đạp
peddler	bán dạo
pediatrician	bác sĩ nhi
pellet; (3) sad	bi
peneplain	bán bình nguyên
peninsula	bán đảo
penname	biệt hiệu
penumbra	bán ảnh
people do whatever they want	ai muốn làm gì thì làm
people’s army (a newspaper)	Tờ Quân Đội Nhân Dân
percentage	bách phân suất
perform	biểu diễn
perhaps	biết đâu
perianth	bao hoa
pericardium	bao tâm
period	biến tướng
perplexed	bàng hoàng
persian gulf	Vịnh Ba Tư
person who has lost their mother	ai từ
personnel carrier	binh vận xa
pessimism	ai quan
pessimistic	bi quan
pete peterson	Pete Peterson thuộc đảng Dân Chủ
petition	biểu chương
pharmaceutics	bào chế học
pharmacy	bào chế học
phase	biến tướng
phenom penh	Nam Vang
phial	am pun
philanthropy	bác ái
philology	bác ngữ học
physical security	an ninh thực thể
phó giám đốc	P.GĐ
phó phòng	PP
pie	bánh
pigskin’s cake	bánh da lợn
pinion	bánh khía
pistol holster	bao súng lục
place	bài liệt
plain rice flan	bánh khoái
plaint	bi ca
plaintive	ai oán
plan	bàn tính
plane table	bàn họa
plane-table	bàn đạc
planning board	ban kế hoạch
plasterer’s hawk	bàn xoa
platform (of a machine)	bàn máy
playing-card	bài lá
plead	biện hộ
plead for	bào chữa
please give (us) your opinion	Xin ông cho biết ý kiến
please take a look	Xin ông cứ coi
pleura	bao phổi
plot	bày mưu tính kế
pneumatic tire	bánh hơi
poem	bài thơ
poetic	bay bướm
polished	bay bướm
polynia	ao băng
polytechnical	bách khoa
pond (in the fields)	bàu
pond and pool	ao chuôm
ponds and lakes	ao hồ
pool	bàu
pope (cao dai)	Giáo Tông
poppy	anh túc
post	Cục Bưu Điện
postmaster general	Tổng Giám Đốc Bưu Chính
potent; short-cut	bá đạo
powder bag	bao thuốc súng
powder room	buồng the
power	binh lực
practiced	am luyện
predestine	an bài
preordain	an bài
prepare medicines	bào chế
prescription	bài thuốc
presents	biện lễ
president)	CT
press conference	buổi họp báo
prick	buồi
primrose	anh thảo
private (as opposed to publicly funded)	bán công
private (military rank) (e1)	binh nhì
private (military rank) (e2)	binh nhất
problem	bài toán
procedure	biện pháp
process	biến chế
proclaim	bá cáo
produce	bao giàn
product safety	an toàn sản phẩm
promulgate (laws	ban bố
propaganda with troops	binh vân
prosecutor	biện lý
prosecutor’s office	biện lý cuộc
prostitution	mại dâm;
protect	bang
provide (with)	ban cấp
pseudonym	biệt hiệu
pta	Hội phụ huynh học sinh
public opinion	bia miệng
public welfare	an ninh công cộng
publicize	bá cáo
publish	ban hành
purpura	ban xuất huyết
put	bài liệt
put in solitary confinement	biệt giam
pyramidal rice dumpling	bánh giò
quarterdeck	boong sĩ quan
quartermaster’s corps	binh lương
queasy	buồn mửa
questionable	bán tín bán nghi
quiet	an tịnh
quintessence	anh hoa
radiation pattern	biểu đồ bức xạ
radiological security	an toàn phóng xạ
radius	bán kính
railing (on a balcony)	bao lơn
ranger	biệt kích
reasonable	biết điều
reassure) the population or people	an dân
rebellion	biến động
receipt	biên lai
receive an order respectfully	bái mạng
reckless	anh hùng chủ nghĩa
red american	Mỹ đỏ
red cross	Hội Hồng Thập Tự
red square (in moscow)	Trường Đỏ
reentrant	ao khúc tuyến
reentrant angle	ao giác
refined	bay bướm
reform	biến cách
regret	a
regulations)	ban bố
relations; to be related	bà con
relatives	bà con họ hàng
relaxed	an lòng
release	buông ra
religious affairs director (cao dai)	Thượng Phẩm
religious ceremony	buổi lễ tôn giáo
report	bài tường thuậ
reportedly on business	anh ta đến đây, nói là có việc
representation	biểu tượng
republican vietnam	Việt Nam Cộng Hòa
resourceful	biến báo
respect-paying audience	bái yết
rest home	an dưỡng đường
retail store; to sell at retail	bán lẻ
retailer	bán lẻ
retirement bureau	Sở Hưu Bổng
reveal	biểu hiện
revolt	biến loạn
rheostat	biến trở
rice cake	bánh tẻ
rice noodle	bánh phở
rice paper used for wrapping egg rolls	bánh tráng
rice pie	bánh giầy
rice spaghetti	bánh canh
rifle scabbard	bao súng
riot	biến loạn
ripple	ba
river god	Long Vương
roadside bomb	bom ven đường
rock-steady	bàn thạch
roll	bay quay tròn
rolling ball	bi xoay
rolling waves	ba đào
rolling-pin	bàn dát
roman	La Tinh
romanization	La Tinh hóa
rome	Roma
room and board	bao ăn ở
roommate	bàn đồng ngũ
rose-drop	ban hồng
rouge; ringleader	anh chị
roundtable	bàn tròn
rucksack	bao đeo lưng
rudder	bánh lái
ruler; to dominate	bá chủ
run	bay ngang
run-down	ba vạ
russia(n)	Nga
russian (federated) republic	Cộng Hòa Liên Bang Nga
russian federation	Liên bang Nga
russian president	Tổng thống Nga
ryuukyu	Lưu Cầu
sabbath	an nhật
sack	bào
sad	buồn tẻ
sad news (of a death)	ai tín
sadness and gladness	bi hoan
safe	an
safe and sound	an thân
safety	an ninh
safety area	an toàn khu
saga	anh hùng ca
saigon	Sài Gòn
saigon commercial bank	Ngân Hàng Thương Mại Cổ Phần Sài Gòn
sallowish	bung bủng
salute	bái chào
san francisco	Cựu Kim Sơn
sanatorium	an dưỡng đường
sand table	bàn cát
sandwich	bánh mì
sanskrit	Phạn ngữ
sanskrit studies	Phạn học
sash	bao tượng
satirize	biếm
satisfied with one’s (poor) fate	an bần
say	buông
scabbard	bao kiếm
scale	biểu
scapegoat	bung xung
scarlatina	ban đỏ
scarlet fever	ban đỏ
scatter bomb	bom mảnh
scholar	bác học
scholarly tradition	Nho phong
science and technology	KHĐT
scientist	bác học
scoundrel	ba que
scowling	bàu bạu
scraper	bàn nạo
screw-cutter	bàn ren
screw-wheel	bánh vít
sea	biển
sea of flames	biển lửa
seated	an vị
secluded	biệt tịch
secluded buddhist convent or temple	am mây
secluded hut	am
second world war	Trận Thế Chiến Thứ Nhất
secret	bem
secretariat	ban bí thư
secretary	Bộ Trưởng Quốc Phòng
secretary of state	Bộ Trưởng Bộ Ngoại Giao
secretary of trade	Bộ Trưởng Thương Mại
section; (2) unit of time; (3) to confer	ban
secular affairs director (cao dai)	Thượng Sanh
secure	an toàn
secure; (2) saddle	an
security	an ninh
security council	Hội Đồng Bảo An
security measures	biện pháp an ninh
security on the march	an toàn lúc di chuyền
security zone	an toàn khu
security; safe	an toàn
sedative	an thần
see bầu cử	bàu cử
self-indulgent	buông thả
sell at a loss or disadvantage	bán lỗ
sell at cost	bán vốn
sell by auction	bán đấu giá
sell cheaply or on the cheap	bán rẻ
sell for a clearance	bán xon
sell oneself	bán dâm
sell out	bán tháo
sell wholesale	bán cất
sell with the right of redeeming pawn	bán độ
semester	bán niên
semi-	bán
semi-automatic	bán tự động
semi-autonomous	bán tự trị
semi-colony	bán thuộc địa
semi-consciousness	bán ý thức
semi-consonant	bán phụ âm
semi-feudal	bán phong kiến
semi-finished product	bán thành phẩm
semi-free	bán tự do
semi-mobile	bán lưu động
semi-official	bán công khai
semi-public	bán công khai
semi-skilled	bán chuyên
semicircular	bán nguyệt
semiconductor	bán dẫn
semicyclic	bán hoàn
semiofficial	bán chính thức
semipolar	bán cực
semitone	bán âm
semivowel	bán mẫu âm
seoul	Hán Thành
separate	biệt lập
separated; separation	biệt ly
separation	biệt cư
sermon	bài diền văn
serpentarius	Thiên xà
servant	a hoàn
service	binh sở
service number	binh số
serviceman	binh sĩ
session	buổi họp mặt
set	bài liệt
set out	bày hàng
set up	bày
several	ba bảy
shack	am
shanghai	Thượng Hải
she	bà ấy
sheet music	bài đàn
shield	bao che
shikoku (region of japan)	Tứ Quốc
shinto	Thần đạo
shoebrush	bàn chải giầy
show	biểu diễn
show of force	biểu dương lực lượng
showa restoration	Thái Hòa Phục Hưng
shrike	bách thanh
siam	Xiêm
siberia	Tây Bá Lợi á
sibling	anh em ruột
siblings	anh em
sign	biểu ngữ
sign; (3) miserly	biển
silhouette target	bia hình
simplified chinese (characters)	Trung Hoa đơn giản
singapore	Tân Gia Ba
sino-vietnamese	Hoa Việt
sinus medii	Lõm Giũa
sinus roris	Lõm Sương
sitting	an tọa
slab	bia
slave trade; to trade in slaves	buôn người
sleep like a log; sound (of sleep)	an giấc
sleeping bag	bao ngủ
sleepy	buồn ngũ
sleeve; to cover	bao
slip	buột tay
slip of the tongue	buột miêng
slush brush	bàn chải chùi dầu
small cylindrical glutinous rice cake	bánh tày
small pagoda	am
small temple	am tự
small vendor	buôn thúng bán mẹt
small wine bottle; (2) to bleat	be
smallish	be bé
smeared	be bét
snow-flaked cake (sprinkled with powdered sugar)	bánh in
so many	biết mấy
so many times	bao nhiêu lần
so many years	bao nhiêu năm
so much	biết mấy
soar	bay liệng
social security	an ninh xã hội bắt đầu
social security office	Nha An Ninh Xã Hội Bắt Đầu
solace	an ủi
solar system	Thai Dương Hệ
solders and horses; army	binh mã
soldier	binh gia
soldiers	binh lính
solider	binh sĩ
solitary room (of a widow or a single young girl)	buồng không
solution	bài giải
some	bao
someone	ai
someone else	ai khác
somewhat proficient	bán chuyên
song	bài ca
sorceress	bà đồng
sorrowful	buồn rầu
sound encoding	biên mã âm thanh
sound of a bell ringing	boong boong
south africa	Nam Phi
south america	Nam Mỹ
south korea	Nam Triều Tiên
south pole	Nam Cực
south vietnamese pajamas	bà ba
southern california	Nam Cali
soviet	Sô Viết
soviet russia	Nga Sô
soviet union	Liên Bang Xô Viết
spain	Tây Ban Nha
spanish	Tây Ban Nha
spare	buông tha
spare tire	bánh sơ cua
spark-plug	bu gi
special	biệt tài
special district	biệt khu
special forces	biệt đội
special mobile troops	biệt động đội
special treatment	biệt đãi
specificity	biệt tính
spectator	bàng quan
speech	bài diền văn
spike-board	bàn chông
sponge cake	bánh bông lan
sporangium	bào tử nang
spore	bào tử
spore case	bào tử nang
sporocyst	bào tử phòng
sporophyll	bào tử diệp
sporophyte	bào tử thực vật
sporoplasm	bào tử chất
spread	bành trướng
spread; (4) to embrace	bá
stable	an định
stage	biến tướng
stagnant pond	ao tù
stained	be bét
stand for	biểu tượng
state	bang gia
statistical table	biểu thống kê
statoscope	biến áp kế
steering wheel	bánh lái
steering wheel (of a car)	bánh trước của xe
stele	bi ký
stele; (2) marble (toy)	bi
stele; (2) target	bia
stick	ba toong
sticky rice cake	bánh dẻo
stillness	an hảo
stingy	bo xiết
stock of a rifle	báng súng
stomach	bao tử
stone	bia
stone slab	bi ký
stooge	bung xung
strange development	biến chuyển lạ lùng
strategy	binh cơ
street vendor	bán dạo
street vendor; to peddle	bán rong
strength	binh lực
student of confucianism	Nho sinh
study	buồng giấy
study room	buồng học
stunned	bàng hoàng
style using couplets	biền văn
subacute	bán cấp
subdignitaries (cao dai)	Chức Việc
suffer or sustain a defeat	bái xái
sun	Thai Dương
superficial	biểu diện
superhuman strength	ba đầu sáu tay
supply (with)	ban cấp
supreme court	Tối Cao Pháp Viện
surround	bao vây
suspension wheel	bánh treo
swallow sail	buồm én
sweden	Thụy điển
sweet meat pie in lumps	bánh chả
sweet roll	bánh ngọt
sweet short cake (made of roast glutinous rice flour)	bánh khảo
sweetheart	a măng
swiss	Thụy Sĩ
switzerland	Thụy Sĩ
symbol	biểu tượng
symbolize; representative	biểu tượng
sympathize	ai
syngman rhee	Lý Thừa Vãn
szechuan	Tứ Xuyên
tables and chairs	bàn ghế
tactical navigation	bay chiến thuật
tactics	binh pháp
tae kwon do	Thái Cực Đạo
take a hint	biết ‎ ý
take it easy	Cứ từ từ
talented man	an tài
talk nonsense	bá láp
talk over	bàn bạc
talk over; (2) table; (3) [cl for games]	bàn
talk somebody out of doing something	bàn ra
talkative	ba lém
tan son nhat (airport)	Tân Sơn Nhất
target	bia bắn
tartar	Thát Đát
task	bài làm
tax office	Sở Thuế Vụ
teammates	anh em trong tổ
telephone	Cục Bưu Điện
tell	biểu
temple in the clouds	am mây
temple; cottage	am
test	bài thi
test bench	bàn thử
test flight	bay thử
text	bài văn
thai	Thái
thailand	Xiêm
thankful	biết ơn
thanksgiving (american holiday)	Lễ Tạ Ơn
that evening	buổi tối hôm đó
that motor uses kerosene	Máy này chạy bằng dầu tây
that’s a lot you’re asking for	bà nói thách quá
that’s too expensive!	Cha, mắc quá
the (world) olympic games	Thế Vận Hội
the almighty	Thượng Đế
the ancient name of hanoi	Long Biên
the arab league	Liên đoàn Ả Rập
the axis alliance	Khối Trục
the bible	Kinh Thánh
the birthday of buddha	Phật Đản
the classic of filial piety	Hiếu kinh
the common people	bách tính
the delta	Lục Tỉnh
the evening before	buổi tối hôm trước
the fairy and the dragon (ancestors of the vietnamese race)	Tiên Rồng
the golden temple	Ngôi đền Vàng Kinkaku-gi
the greater east asia conference	Hội Nghị đại đông Á
the greater east asia coprosperity sphere	Khối Thịnh Vượng Chung Đại Đông Á
the greater east asia ministry	Bộ Đại Đông Á
the international standards organization	Tổ Chức Tiêu Chuẩn Quốc Tế
the jade emperor	Nhọc Hoàng
the korean peninsula	bán đảo Cao Ly
the league of nations	Hội Quốc Liên
the library of congress	Thư Viện Quốc Hội Hoa Kỳ
the lion	Hải sư
the masses	bách tính
the math problem was child’s play	bài toán làm như chơi
the middle ages	Trung Cổ
the milky way	Dải Ngân hà
the ministry of international trade and industry (miti)	﻿Bộ Ngoại Thương và Kỹ Nghệ
the netherlands; dutch	Hà Lan
the next morning	buổi sáng hôm sau
the officials	bách quan
the old lady is a little hard of hearing	bà cụ hơi nghểnh ngãng
the pacific ocean	Thái Bình Dương
the people	bá tánh
the philippines; filipino	Phi Luật Tân
the polish president became a puppet of russia	Tổng Thống Ba Lan đã làm bù nhìn chi Ngã
the population	bá tánh
the previous evening	buổi tối hôm trước
the promised land	Miên Đất Hứa
the red cross	Chữ Thập Đỏ
the redemptorists	Dòng Chúa Cứu Thế
the republic of vietnam	Việt Nam Cộng Hòa
the russian federation is only a shadow of the former soviet union	Liên Bang Nga là một vang bóng của Liên Xô ngày xưa
the russian union	Liên Bang Nga
the savior	Chúa cứu thế
the second	Mồng hai
the socialist republic of vietnam	Cộng Hòa Xã Hội Chủ Nghĩa Việt Nam
the spacious seas	biển mênh mông
the tale of kieu (by nguyễn du)	Truyện Kiều
the three branches of the armed forces	ba quân
the three “with’s” (live with	ba cùng
the tomb of the unknown solider	Mộ Chiến Sĩ Vô Danh
the west	Tây phương
the white house	Tòa Bạch Ốc
the wright brothers	anh em nhà Wright
theater group	ban hát
theater troupe	ban kịch
theatrical group	ban kịch
theatrical performance	buồi hát
theme	bài làm
theoretical graph	biểu đồ lý thuyết
there is no life on the moon	Không có sự sống trên Trăng
there is nothing at all	Chả có gì sốt
the‎‎y’ve rented them all already	Họ muốn hết rồi
thirty	ba chục
this afternoon	buổi chiều nay
this morning	ban sáng
thorax	buồng ngực
three autumns	ba thu
three days later	ba ngày sau
three deaths	ba ca tử vong
three dots	ba chấm
three or four	ba bốn
three or four times	ba bốn lần
three phase	ba pha
three resolves (in emulation movement)	ba quyết tâm
three responsibilities (women’s emulation movement)	ba đảm đang
three rounds of serving wine or burning incense	ba tuần
three silences	ba không
three spearhead-attack	ba mũi giáp công
three times	ba lần
three years	ba thu
three-fourths	ba phần tư
three-leaf clover	ba gạc
three-month growth rice	ba giăng
thành phố hồ chí minh	TPHCM
thủ tướng	TT
tiananmen	Thiên An Môn
tibet	Tây Tạng
tibetan	Tang
tibetan buddhism	Lạt Ma Giáo
tien tsin	Thiên Tân
time bomb	bom nổ chậm
tire	bánh xe
to	bán tống bán tháo
to (cause to) root	bám rễ
to accuse	buộc tội
to acidify	a cít hóa
to acknowledge receipt	biên nhận
to admire	bái phục
to aid	bang trợ
to annotate	biên chú
to answer respectfully	bái đáp
to ape	a dua
to argue	biện bác
to arrange	an bài
to array troops	bài binh bố trận
to auction	bán đấu giá
to audit (class	bàng thính
to banish	an trí
to be a hawker	bán bưng
to be a peddler or hawker	buôn gánh bán bưng
to be a prostitute	buôn son bán phấn
to be bored to death	buồn như chấu cắn
to be close by	bàng cận
to be next to	bàng (1) terminalia, a shade tree; (2)
to be obliged	buộc lòng
to be opposed to	bài xích
to be well versed	am thục
to become	biến thành
to become loose	bong
to besiege	bay vây
to bestow favors	ban ơn
to bless	ban phước
to bow	bái
to bow to one’s ancestors	bái tổ
to brag	ba hoa
to broadcast	bá âm
to build a bridge	bác cầu
to burst forth	bung ra
to bury	an táng
to calm (quiet	an dân
to change	biến đổi
to change; change	biến thiên
to characterize	biệu tính
to cheat in commerce	buôn gian bán lận
to circle (of an airplane)	bay quần
to clearly show	biện bạch
to cling to	bám riết
to cling to power	bám giữ quyền lực
to comfort	an ủi
to comfort oneself	an ủi mình
to comfort the victims	an ủi nạn nhân
to compile	biên soạn
to consist of	bao gồm
to contain	bao quát
to contrive (unnecessary things)	bày vẽ
to correct	biện chính
to cover	bao trùm
to cover up	bao phủ
to crave	ao ước
to create (unnecessary things)	bày đặt
to create unnecessary work	bày việc
to criticize	bác bẻ
to cut (off)	beng
to cut the neck of	beng cổ
to deal drugs	buôn bán ma túy
to deal heroin	buôn bán bạch phiến
to deal in foreign currencies	buôn bạc
to debate	bàn bạc
to decide (by a vote)	biểu quyết
to defend	bào chữa
to demonstrate against the government	biểu tình phản đối nhà nước
to demonstrate; demonstration	biểu tình
to detail	biệt phái
to detain separately	biệt giam
to develop	bành trướng
to disappear	biến đi
to disappear completely	biến đi mất hết
to discuss	bài cãi
to discuss (sth)	bàn về
to discuss and argue	bàn tán
to discuss and arrange	bàn soạn
to discuss sth	bàn chuyện về
to discuss the diplomatic situation	bàn luận tình trạng ngoại giao
to discuss without coming to any conclusion	bàn quanh
to disengage	buông tha
to display	biểu dương
to distinguish	biện biết
to distribute	ban phát
to do business wholesale	buôn cất
to drop one’s arms	buông tay
to drop some sharp words	buông xõng
to dump goods	bán phá giá
to edit	biên tập
to embezzle	biển thủ
to encircle	bao vây
to encode; encoding	biên mã
to encrypt	biến chữ
to enjoy (peacefully)	an hưởng
to evaporate	bay hơi
to excrete	bài xuất
to exhibit	biểu diễn
to expand	bành
to explain	biện minh
to express	biểu thị
to express concern	bày tỏ sự lo ngại
to express one’s ideas	bày tỏ ý kiến
to extend one’s influence	bành trướng ảnh hương
to fancy	ai đời
to feel sick; queasy	buồn nôn
to fly	bay lượn
to fly all about	bay nhởn nhơ
to fly around the moon	bay vòng quanh Mặt Trăng
to fly away	bay lên
to fly by	bay qua
to fly down	bay xuống
to fly into	bay vào
to fly to	bay chuyền
to fly very low	bay la
to follow	a tòng
to follow close or hard on somebody’s heels	bám sát
to force	buộc
to furnish	bài trí
to gamble	bài bạc
to get rid of	bài trừ
to give gifts frequently	biếu xén
to go for a stroll	bách bộ
to grant	ban tặng
to grant a boon	ban ơn mưa móc
to grieve and resent; grief and resentment	ai oán
to guard jealously	bo bo
to hang on	bám víu
to hang on to	bám
to hang onto	bám giữ
to have a desire to do something	buồn mình
to have a wide knowledge (of things past and present)	bác cổ thông kim
to have one’s head cut off	beng mất đầu
to have tasted	biết mùi
to have to	buộc phải
to hit one hundred percent	bách phát bách trúng
to hold private discussions	bàn mảnh
to hotly debate	bàn cãi sôi nổi
to hug	bá cổ
to issue	ban bố
to issue a decree	ban hành sắc luật
to issue a law	ban bố luật pháp
to know	biết
to know about	biết về
to know beforehead	biết trước
to know clearly	biết rõ
to know everything about	biết hết về
to know everything about sth	biết hết mọi thứ về
to know for sure	biết đích xác
to know how to use	biết dùng
to know how to use a weapon	biết cách sử dụng súng
to know it but to be forced to keep silence	biết đấy mà phải ngậm tăm
to know more about	biết nhiều hơn về
to know one thing for sure	biết chắc một điều
to know one's place	biết thân biết phận
to know oneself	biết thân
to know one’s mistakes	biết lỗi
to know one’s ways about in a city	biết hết ngõ ngách một thành phố
to know something inside and out	am hiểu cặn kẽ về gì
to know that	biết rằng
to know the value	biết giá trị
to know thoroughly	am tường
to know very clearly	biết rõ trắng đen
to know very well	biết rành
to know well	am hiểu
to learn a lesson by heart	bài học thuộc lòng
to leave in peace	an cư
to leave one’s native country (for good)	bán xới
to let (something) run its course	buông xuôi
to let a cup slip down from one’s hand	buột tay đánh rơi cái chén
to let out	buông ra
to let slip down	buột
to lie	bá láp
to live a leisurely life	an dật
